"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202401","85044099","未列名静止式变流器","196031303","个","34235262","千克","6,683,959,650",
"202402","85044099","未列名静止式变流器","143273146","个","24754042","千克","4,781,913,356",
"202403","85044099","未列名静止式变流器","120252256","个","25307025","千克","5,393,162,010",
"202404","85044099","未列名静止式变流器","157834706","个","31737267","千克","5,953,605,425",
"202405","85044099","未列名静止式变流器","170478093","个","34906901","千克","6,202,832,869",
"202406","85044099","未列名静止式变流器","180500745","个","36750111","千克","6,174,926,298",
"202407","85044099","未列名静止式变流器","180446903","个","39628844","千克","6,546,233,350",
"202408","85044099","未列名静止式变流器","191717564","个","38494926","千克","6,406,241,620",
"202409","85044099","未列名静止式变流器","178984215","个","34587009","千克","5,986,995,187",
"202410","85044099","未列名静止式变流器","186534980","个","37224285","千克","6,136,497,651",
"202411","85044099","未列名静止式变流器","198649142","个","34943237","千克","6,156,067,937",
"202412","85044099","未列名静止式变流器","213518651","个","41638314","千克","7,251,270,731",
